idpedido;cliente;importe;iva;total;pais
10248;WILMK;32,38;6,80;39,18;Finlandia
10249;TOMSP;11,61;2,44;14,05;Alemania
10250;HANAR;65,83;13,82;79,65;Brasil
10251;VICTE;41,34;8,68;50,02;Francia
10252;SUPRD;51,30;10,77;62,07;Belgica
10253;HANAR;58,17;12,22;70,39;Brasil
10254;CHOPS;22,98;4,83;27,81;Suiza
10255;RICSU;148,33;31,15;179,48;Suiza
10256;WELLI;13,97;2,93;16,90;Brasil
10257;HILAA;81,91;17,20;99,11;Venezuela
10258;ERNSH;140,51;29,51;170,02;Austria
10259;CENTC;3,25;0,68;3,93;Mexico
10260;OTTIK;55,09;11,57;66,66;Alemania
10261;QUEDE;3,05;0,64;3,69;Brasil
10262;RATTC;48,29;10,14;58,43;Estados Unidos
10263;ERNSH;146,06;30,67;176,73;Austria
10264;FOLKO;3,67;0,77;4,44;Suecia
10265;BLONP;55,28;11,61;66,89;Francia
10266;WARTH;25,73;5,40;31,13;Finlandia
10267;FRANK;208,58;43,80;252,38;Alemania
10268;GROSR;66,29;13,92;80,21;Venezuela
10269;WHITC;4,56;0,96;5,52;Estados Unidos
10270;WARTH;136,54;28,67;165,21;Finlandia
10271;SPLIR;4,54;0,95;5,49;Estados Unidos
10272;RATTC;98,03;20,59;118,62;Estados Unidos
10273;QUICK;76,07;15,97;92,04;Alemania
10274;VINET;6,01;1,26;7,27;Francia
10275;MAGAA;26,93;5,66;32,59;Italia
10276;TORTU;13,84;2,91;16,75;Mexico
10277;MORGK;125,77;26,41;152,18;Alemania
10278;BERGS;92,69;19,46;112,15;Suecia
10279;LEHMS;25,83;5,42;31,25;Alemania
10280;BERGS;8,98;1,89;10,87;Suecia
10281;ROMEY;2,94;0,62;3,56;Espanya
10282;ROMEY;12,69;2,66;15,35;Espanya
10283;LILAS;84,81;17,81;102,62;Venezuela
10284;LEHMS;76,56;16,08;92,64;Alemania
10285;QUICK;76,83;16,13;92,96;Alemania
10286;QUICK;229,24;48,14;277,38;Alemania
10287;RICAR;12,76;2,68;15,44;Brasil
10288;REGGC;7,45;1,56;9,01;Italia
10289;BSBEV;22,77;4,78;27,55;Reino Unido
10290;COMMI;79,70;16,74;96,44;Brasil
10291;QUEDE;6,40;1,34;7,74;Brasil
10292;TRADH;1,35;0,28;1,63;Brasil
10293;TORTU;21,18;4,45;25,63;Mexico
10294;RATTC;147,26;30,92;178,18;Estados Unidos
10295;VINET;1,15;0,24;1,39;Francia
10296;LILAS;0,12;0,03;0,15;Venezuela
10297;BLONP;5,74;1,21;6,95;Francia
10298;HUNGO;168,22;35,33;203,55;Irlanda
10299;RICAR;29,76;6,25;36,01;Brasil
10300;MAGAA;17,68;3,71;21,39;Italia
10301;WANDK;45,08;9,47;54,55;Alemania
10302;SUPRD;6,27;1,32;7,59;Belgica
10303;GODOS;107,83;22,64;130,47;Espanya
10304;TORTU;63,79;13,40;77,19;Mexico
10305;OLDWO;257,62;54,10;311,72;Estados Unidos
10306;ROMEY;7,56;1,59;9,15;Espanya
10307;LONEP;0,56;0,12;0,68;Estados Unidos
10308;ANATR;1,61;0,34;1,95;Mexico
10309;HUNGO;47,30;9,93;57,23;Irlanda
10310;THEBI;17,52;3,68;21,20;Estados Unidos
10311;DUMON;24,69;5,18;29,87;Francia
10312;WANDK;40,26;8,45;48,71;Alemania
10313;QUICK;1,96;0,41;2,37;Alemania
10314;RATTC;74,16;15,57;89,73;Estados Unidos
10315;ISLAT;41,76;8,77;50,53;Reino Unido
10316;RATTC;150,15;31,53;181,68;Estados Unidos
10317;LONEP;12,69;2,66;15,35;Estados Unidos
10318;ISLAT;4,73;0,99;5,72;Reino Unido
10319;TORTU;64,50;13,54;78,04;Mexico
10320;WARTH;34,57;7,26;41,83;Finlandia
10321;ISLAT;3,43;0,72;4,15;Reino Unido
10322;PERIC;0,40;0,08;0,48;Mexico
10323;KOENE;4,88;1,02;5,90;Alemania
10324;SAVEA;214,27;45,00;259,27;Estados Unidos
10325;KOENE;64,86;13,62;78,48;Alemania
10326;BOLID;77,92;16,36;94,28;Espanya
10327;FOLKO;63,36;13,31;76,67;Suecia
10328;FURIB;87,03;18,28;105,31;Portugal
10329;SPLIR;191,67;40,25;231,92;Estados Unidos
10330;LILAS;12,75;2,68;15,43;Venezuela
10331;BONAP;10,19;2,14;12,33;Francia
10332;MEREP;52,84;11,10;63,94;Canada
10333;WARTH;0,59;0,12;0,71;Finlandia
10334;VICTE;8,56;1,80;10,36;Francia
10335;HUNGO;42,11;8,84;50,95;Irlanda
10336;PRINI;15,51;3,26;18,77;Portugal
10337;FRANK;108,26;22,73;130,99;Alemania
10338;OLDWO;84,21;17,68;101,89;Estados Unidos
10339;MEREP;15,66;3,29;18,95;Canada
10340;BONAP;166,31;34,93;201,24;Francia
10341;SIMOB;26,78;5,62;32,40;Dinamarca
10342;FRANK;54,83;11,51;66,34;Alemania
10343;LEHMS;110,37;23,18;133,55;Alemania
10344;WHITC;23,29;4,89;28,18;Estados Unidos
10345;QUICK;249,06;52,30;301,36;Alemania
10346;RATTC;142,08;29,84;171,92;Estados Unidos
10347;FAMIA;3,10;0,65;3,75;Brasil
10348;WANDK;0,78;0,16;0,94;Alemania
10349;SPLIR;8,63;1,81;10,44;Estados Unidos
10350;LAMAI;64,19;13,48;77,67;Francia
10351;ERNSH;162,33;34,09;196,42;Austria
10352;FURIB;1,30;0,27;1,57;Portugal
10353;PICCO;360,63;75,73;436,36;Austria
10354;PERIC;53,80;11,30;65,10;Mexico
10355;AROUT;41,95;8,81;50,76;Reino Unido
10356;WANDK;36,71;7,71;44,42;Alemania
10357;LILAS;34,88;7,32;42,20;Venezuela
10358;LAMAI;19,64;4,12;23,76;Francia
10359;SEVES;288,43;60,57;349,00;Reino Unido
10360;BLONP;131,70;27,66;159,36;Francia
10361;QUICK;183,17;38,47;221,64;Alemania
10362;BONAP;96,04;20,17;116,21;Francia
10363;DRACD;30,54;6,41;36,95;Alemania
10364;EASTC;71,97;15,11;87,08;Reino Unido
10365;ANTON;22,00;4,62;26,62;Mexico
10366;GALED;10,14;2,13;12,27;Espanya
10367;VAFFE;13,55;2,85;16,40;Dinamarca
10368;ERNSH;101,95;21,41;123,36;Austria
10369;SPLIR;195,68;41,09;236,77;Estados Unidos
10370;CHOPS;1,17;0,25;1,42;Suiza
10371;LAMAI;0,45;0,09;0,54;Francia
10372;QUEEN;890,78;187,06;1077,84;Brasil
10373;HUNGO;124,12;26,07;150,19;Irlanda
10374;WOLZA;3,94;0,83;4,77;Polonia
10375;HUNGC;20,12;4,23;24,35;Estados Unidos
10376;MEREP;20,39;4,28;24,67;Canada
10377;SEVES;22,21;4,66;26,87;Reino Unido
10378;FOLKO;5,44;1,14;6,58;Suecia
10379;QUEDE;45,03;9,46;54,49;Brasil
10380;HUNGO;35,03;7,36;42,39;Irlanda
10381;LILAS;7,99;1,68;9,67;Venezuela
10382;ERNSH;94,77;19,90;114,67;Austria
10383;AROUT;34,24;7,19;41,43;Reino Unido
10384;BERGS;168,64;35,41;204,05;Suecia
10385;SPLIR;30,96;6,50;37,46;Estados Unidos
10386;FAMIA;13,99;2,94;16,93;Brasil
10387;SANTG;93,63;19,66;113,29;Noruega
10388;SEVES;34,86;7,32;42,18;Reino Unido
10389;BOTTM;47,42;9,96;57,38;Canada
10390;ERNSH;126,38;26,54;152,92;Austria
10391;DRACD;5,45;1,14;6,59;Alemania
10392;PICCO;122,46;25,72;148,18;Austria
10393;SAVEA;126,56;26,58;153,14;Estados Unidos
10394;HUNGC;30,34;6,37;36,71;Estados Unidos
10395;HILAA;184,41;38,73;223,14;Venezuela
10396;FRANK;135,35;28,42;163,77;Alemania
10397;PRINI;60,26;12,65;72,91;Portugal
10398;SAVEA;89,16;18,72;107,88;Estados Unidos
10399;VAFFE;27,36;5,75;33,11;Dinamarca
10400;EASTC;83,93;17,63;101,56;Reino Unido
10401;RATTC;12,51;2,63;15,14;Estados Unidos
10402;ERNSH;67,88;14,25;82,13;Austria
10403;ERNSH;73,79;15,50;89,29;Austria
10404;MAGAA;155,97;32,75;188,72;Italia
10405;LINOD;34,82;7,31;42,13;Venezuela
10406;QUEEN;108,04;22,69;130,73;Brasil
10407;OTTIK;91,48;19,21;110,69;Alemania
10408;FOLIG;11,26;2,36;13,62;Francia
10409;OCEAN;29,83;6,26;36,09;Argentina
10410;BOTTM;2,40;0,50;2,90;Canada
10411;BOTTM;23,65;4,97;28,62;Canada
10412;WARTH;3,77;0,79;4,56;Finlandia
10413;LAMAI;95,66;20,09;115,75;Francia
10414;FAMIA;21,48;4,51;25,99;Brasil
10415;HUNGC;0,20;0,04;0,24;Estados Unidos
10416;WARTH;22,72;4,77;27,49;Finlandia
10417;SIMOB;70,29;14,76;85,05;Dinamarca
10418;QUICK;17,55;3,69;21,24;Alemania
10419;RICSU;137,35;28,84;166,19;Suiza
10420;WELLI;44,12;9,27;53,39;Brasil
10421;QUEDE;99,23;20,84;120,07;Brasil
10422;FRANS;3,02;0,63;3,65;Italia
10423;GOURL;24,50;5,14;29,64;Brasil
